Name(Mandatory Field),Company,Email(Mandatory Field)(Should be Unique For Every Lead),Secondary-Email,Phone(Mandatory Field),Skype,Address Line 1,Address Line 2,City,State,Country,Zipcode,Source(Manadatory Field)
John ,1. AT&T,abc@xyz.com,,(925) 359-9048,,"(1)134 Sunset Dr #C-1ASan Ramon, CA 94583",,,,,,Google
Miles,2. CP Communications,abc@xyz.com,,(925) 831-2406,,"(1)2010 Crow Canyon Pl Plc Ste 100San Ramon, CA 94583",,,,,,Google
Philip ,3. Meridian Associates,abc@xyz.com,,(925) 804-6244,,"2680 Bishop Dr Ste 205San Ramon, CA 94583",,,,,,Google
Martin ,4. Jack Frost Design,abc@xyz.com,,(925) 551-0162,,"416 Promontory TerSan Ramon, CA 94583",,,,,,Google
Frank,5. Helvetica,abc@xyz.com,,(925) 983-3400,,"126667 Alcosta Blvd suit 200San Ramon, CA 94583",,,,,,Google
Eric ,6. Aximsoft,abc@xyz.com,,(925) 380-6253,,"2400 Camino RamonSan Ramon, CA 94583",,,,,,Google
Roger ,7. Caskie Web Solutions,abc@xyz.com,,(925) 829-0751,,"231 Market Place, Suite 131San Ramon, CA 94583",,,,,,Google
Robert ,8. Sina Advisory Group,abc@xyz.com,,(925) 478-6085,,"(2)3420 Fostoria Way, Suite A201San Ramon, CA 94583",,,,,,Google
John ,9. Webivia,abc@xyz.com,,(925) 663-2313,,"11040 Bollinger Canyon Road, Suite e888San Ramon, CA 94582",,,,,,Google
Miles,10. Amick Brown,abc@xyz.com,,(925) 820-2000,,"2500 Old Crow Canyon RdSan Ramon, CA 94583",,,,,,Google
Philip ,11. Espressworks International,abc@xyz.com,,(925) 244-0900,,"2010 Crow Canyon PlSan Ramon, CA 94583",,,,,,Google
Martin ,12. Pixion Inc,abc@xyz.com,,(925) 328-1500,,"3180 Crow Canyon PlSan Ramon, CA 94583",,,,,,Google
Frank,13. Tech Troubleshooters,abc@xyz.com,,(925) 297-5597,,"San Ramon, CA 94583",,,,,,Google
Eric ,14. Cheep Cheep Postcards - Direct Mail Advertising,abc@xyz.com,,(888) 222-4337,,(1)Serving the San Ramon Area.,,,,,,Google
Roger ,15. YP,abc@xyz.com,,(800) 438-7325,,Find a Location,,,,,,Google
Robert ,"16. Hureka Technologies, Inc.",abc@xyz.com,,(888) 805-4614,,(2)Serving the San Ramon Area.,,,,,,Google
John ,17. AT&T,abc@xyz.com,,(888) 722-4885,,(20)Find a Location,,,,,,Google
Miles,"18. Hureka Technologies, Inc.",abc@xyz.com,,(888) 259-9815,,Serving the San Ramon Area.,,,,,,Google
Philip ,19. Hudson Horizons Website Design & Development,abc@xyz.com,,(201) 845-8700,,(2)Serving the San Ramon Area.,,,,,,Google
Martin ,20. Cloud Mobile Websites,abc@xyz.com,,(888) 338-9967,,Serving the San Ramon Area.,,,,,,Google
Frank,"21. SEO Website Design CO: Internet Lead Generation, Search Engine Optimizer & SEO Online Marketing Optimization",abc@xyz.com,,(888) 602-4221,,(15)Serving the San Ramon Area.,,,,,,Google
Eric ,22. Kell Web Solutions Inc.,abc@xyz.com,,(888) 530-7034,,(4)Serving the San Ramon Area.,,,,,,Google
Roger ,23. AT&T,abc@xyz.com,,(888) 764-2548,,(179)Find a Location,,,,,,Google
Robert ,24. Techdesk,abc@xyz.com,,(925) 855-1544,,"125 Railroad AveDanville, CA 94526",,,,,,Google
John ,25. AlamoWeb Solutions,abc@xyz.com,,(925) 212-0638,,"Alamo, CA 94507",,,,,,Google
Miles,26. Vindya SWT Inc,abc@xyz.com,,(925) 551-7778,,"Dublin, CA 94568",,,,,,Google
Philip ,27. Forrest Tanaka Photo Media,abc@xyz.com,,(925) 240-3876,,"Pleasanton, CA 94566",,,,,,Google
Martin ,28. MediaPro Designs LLC,abc@xyz.com,,(408) 499-8338,,Serving the San Ramon Area.,,,,,,Google
Frank,29. A Web Wise Solutions,abc@xyz.com,,(925) 964-9473,,Serving the San Ramon Area.,,,,,,Google
Eric ,31. Lani Allen Photography,abc@xyz.com,,(925) 216-9826,,"Pleasanton, CA 94588",,,,,,Google
Roger ,32. Bill Brennan,abc@xyz.com,,(925) 362-0974,,"452 Veda DrDanville, CA 94526",,,,,,Google
Robert ,33. Chromatic Development LLC,abc@xyz.com,,(925) 699-8493,,"PO Box 1013Pleasanton, CA 94566",,,,,,Google
John ,34. Iron Horse Social Media,abc@xyz.com,,(925) 400-3962,,"PO Box 634Pleasanton, CA 94566",,,,,,Google
Miles,"35. Rhino Digital Media, Inc.",abc@xyz.com,,(925) 452-8278,,"11501 Dublin Blvd., STE 200Dublin, CA 94568",,,,,,Google
Philip ,36. Quarter Pie Interactive,abc@xyz.com,,(209) 782-7830,,"10200, Crow Canyon RoadCastro Valley, CA 94552",,,,,,Google
Martin ,37. NetMarketingProducts247,abc@xyz.com,,(925) 575-1735,,"Livermore, CA 94550",,,,,,Google
Frank,38. Studio 680,abc@xyz.com,,(925) 406-4717,,"Danville, CA 94526",,,,,,Google
Eric ,39. PAPERBOY,abc@xyz.com,,(925) 361-2410,,"Dublin, CA 94568",,,,,,Google
Roger ,40. Creative Marketing Resources,abc@xyz.com,,(925) 234-5910,,"Livermore, CA 94551",,,,,,Google
Robert ,41. NexStep Worldwide,abc@xyz.com,,(510) 421-2137,,Serving the San Ramon Area.,,,,,,Google
John ,42. Arrows Technologies,abc@xyz.com,,(860) 371-4699,,Serving the San Ramon Area.,,,,,,Google
Miles,"43. The Tire Consultants, LLC",abc@xyz.com,,(408) 966-6261,,Serving the San Ramon Area.,,,,,,Google
Philip ,44. AllianceIt,abc@xyz.com,,(925) 973-0000,,Serving the San Ramon Area.,,,,,,Google
Martin ,45. Xtendly: Marketing-as-a-Service,abc@xyz.com,,(925) 241-5851,,"4900 Hopyard RdPleasanton, CA 94588",,,,,,Google
Frank,46. YP,abc@xyz.com,,(800) 994-2222,,"4256 Hacienda Dr Suite 200Pleasanton, CA 94588",,,,,,Google
Eric ,47. AT&T,abc@xyz.com,,(925) 400-9871,,"1452 Stoneridge Mall Rd Suite 100Pleasanton, CA 94588",,,,,,Google
Roger ,48. Sierra Image Works,abc@xyz.com,,(510) 538-1177,,"17326 Mayflower DrCastro Valley, CA 94546",,,,,,Google
Robert ,49. Star Quality design Studio,abc@xyz.com,,(510) 395-6314,,"2139 Hill Ave #3Hayward, CA 94541",,,,,,Google
John ,50. Airtight Internet Services,abc@xyz.com,,(925) 256-6710,,"170 Alamo PlzAlamo, CA 94507",,,,,,Google
Miles,51. TheWebSuperStore,abc@xyz.com,,(925) 785-4775,,"7153 Kingston PlDublin, CA 94568",,,,,,Google
Philip ,52. RKS Marketing & Web Design,abc@xyz.com,,(925) 417-7040,,"11875 Dublin Blvd # C152Dublin, CA 94568",,,,,,Google
Martin ,53. Milyoni,abc@xyz.com,,(925) 251-1701,,"7901 Stoneridge Dr # 205Pleasanton, CA 94588",,,,,,Google
Frank,54. Junipero Design,abc@xyz.com,,(925) 523-3260,,"7241 Valley View CtPleasanton, CA 94588",,,,,,Google
